tweet_clean,Tweet,sentiment,sentiment_scores,neg,neu,pos,compound
"['allah', 'owner', 'everything', 'plz', 'say', 'yes', 'prayers', 'make', 'loved', 'ones', 'happy', 'ameen', '', 'happy', 'th', 'ramadan', 'morning']",allah owner everything plz say yes prayers make loved ones happy ameen happy th ramadan morning,positive,"{'neg': 0.0, 'neu': 0.418, 'pos': 0.582, 'compound': 0.936}",0.0,0.418,0.582,0.936
"['allah', 'support', 'oppressed', 'brothers', 'gaza', 'everywhere', 'despite', 'israeli', 'restrictions', 'palestinians', 'performed', 'taraweeh', 'prayers', 'evening', 'alaqsamosque', 'ramadan']",allah support oppressed brothers gaza everywhere despite israeli restrictions palestinians performed taraweeh prayers evening alaqsamosque ramadan,negative,"{'neg': 0.157, 'neu': 0.707, 'pos': 0.136, 'compound': -0.1027}",0.157,0.707,0.136,-0.1027
"['allah', 'swt', 'allowed', 'us', 'reach', 'blessed', 'month', 'ramadan', 'time', 'reflection', 'gratitude', 'strengthening', 'faith', 'may', 'allah', 'swt', 'grant', 'us', 'patience', 'peace', 'forgiveness', '', '', 'muslim', 'brothers', 'sisters', 'around', 'world', '']",allah swt allowed us reach blessed month ramadan time reflection gratitude strengthening faith may allah swt grant us patience peace forgiveness muslim brothers sisters around world,positive,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.9657}",0.0,0.446,0.554,0.9657
"['allah', 'testing', 'patience', 'ramadan']",allah testing patience ramadan,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['almost', 'months', 'israel', 'committed', 'war', 'crimes', 'gaza', 'week', 'ramadan', 'blocking', 'aid', 'act', 'collective', 'punishment', 'uk', 'must', 'must', 'apply', 'international', 'law', 'equally', 'states', 'allies', 'human', 'lives', 'equal']",almost months israel committed war crimes gaza week ramadan blocking aid act collective punishment uk must must apply international law equally states allies human lives equal,negative,"{'neg': 0.289, 'neu': 0.656, 'pos': 0.055, 'compound': -0.8344}",0.289,0.656,0.055,-0.8344
"['altaf', 'hussain', 'writes', 'general', 'asim', 'munir', 'chief', 'pakistan', 'army', 'respected', 'chief', 'army', 'staff', 'general', 'hafiz', 'asim', 'munir', 'reiterated', 'many', 'times', 'sacred', 'occasion', 'ramadan']",altaf hussain writes general asim munir chief pakistan army respected chief army staff general hafiz asim munir reiterated many times sacred occasion ramadan,positive,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4767}",0.0,0.876,0.124,0.4767
"['always', 'good', 'see', 'premier', 'league', 'accommodating', 'players', 'break', 'fast', 'games', 'respect', 'players', 'fast', 'matchday', 'ramadan']",always good see premier league accommodating players break fast games respect players fast matchday ramadan,positive,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7184}",0.0,0.684,0.316,0.7184
"['amazing', 'kitchen', 'ever', 'see', 'ramadan']",amazing kitchen ever see ramadan,positive,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.5859}",0.0,0.513,0.487,0.5859
"['among', 'greatest', 'blessings', 'ramadan', 'able', 'spend', 'mother', 'may', 'allah', 'bless', 'mothers', 'happiness', 'efforts']",among greatest blessings ramadan able spend mother may allah bless mothers happiness efforts,positive,"{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.9337}",0.0,0.39,0.61,0.9337
"['andrew', 'tate', 'spotted', 'las', 'vegas', 'gambling', 'ramadan']",andrew tate spotted las vegas gambling ramadan,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['announcing', 'days', 'ramadan', 'festival', 'sale', 'ramadan', 'month', 'bringing', 'exclusive', 'collections', 'game', 'developers', 'around', 'world', 'tune', 'featured', 'dos', 'upcomin', 'games', 'games', 'created', 'southeast', 'devs', 'sale', 'page']",announcing days ramadan festival sale ramadan month bringing exclusive collections game developers around world tune featured dos upcomin games games created southeast devs sale page,positive,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.6908}",0.0,0.767,0.233,0.6908
"['another', 'day', 'another', 'iftar', 'served', 'th', 'day', 'ramadan', 'continued', 'delivering', 'meals', 'fasting', 'ensuring', 'families', 'food', 'break', 'fast', 'hunger', 'pause', 'neither', 'support', 'keep', 'providing', 'meals', 'throughout', 'month']",another day another iftar served th day ramadan continued delivering meals fasting ensuring families food break fast hunger pause neither support keep providing meals throughout month,negative,"{'neg': 0.145, 'neu': 0.783, 'pos': 0.072, 'compound': -0.2865}",0.145,0.783,0.072,-0.2865
"['anyone', 'else', 'fancy', 'nice', 'bacon', 'sandwich', 'noon', 'celebrate', 'ramadan']",anyone else fancy nice bacon sandwich noon celebrate ramadan,positive,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.7579}",0.0,0.519,0.481,0.7579
"['appeal', 'president', 'asif', 'zardari', 'prime', 'mister', 'shehbaz', 'sharif', 'uphold', 'sanctity', 'holy', 'month', 'ramadan', 'releasing', 'political', 'prisoners', 'including', 'detained', 'mqm', 'workers', 'additionally', 'prisoners', 'across', 'country', 'already', 'served', 'sentences']",appeal president asif zardari prime mister shehbaz sharif uphold sanctity holy month ramadan releasing political prisoners including detained mqm workers additionally prisoners across country already served sentences,negative,"{'neg': 0.278, 'neu': 0.687, 'pos': 0.036, 'compound': -0.8442}",0.278,0.687,0.036,-0.8442
"['approval', 'custodian', 'two', 'holy', 'mosques', 'finest', 'editions', 'holy', 'quran', 'set', 'global', 'distribution', 'ramadan', 'making', 'lasting', 'impact']",approval custodian two holy mosques finest editions holy quran set global distribution ramadan making lasting impact,positive,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.4767}",0.0,0.829,0.171,0.4767
"['', '', '', '', '', 'arabic', 'word', 'ramadun', 'refers', 'heat', 'sun', 'ramadan', 'person', 'restrains', 'food', 'drink', 'physical', 'pleasures', 'individual', 'develops', 'within', 'burning', 'passion']",arabic word ramadun refers heat sun ramadan person restrains food drink physical pleasures individual develops within burning passion,positive,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.7096}",0.0,0.731,0.269,0.7096
"['arabs', 'east', 'jerusalem', 'celebrate', 'ramadan', 'tonight', 'beating', 'shit', 'nice', 'culture']",arabs east jerusalem celebrate ramadan tonight beating shit nice culture,negative,"{'neg': 0.346, 'neu': 0.314, 'pos': 0.34, 'compound': -0.0258}",0.346,0.314,0.34,-0.0258
"['armed', 'mobs', 'locals', 'brawl', 'outside', 'mosque', 'small', 'heath', 'birmingham', 'ramadan', 'britain', 'broken']",armed mobs locals brawl outside mosque small heath birmingham ramadan britain broken,negative,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}",0.22,0.78,0.0,-0.4767
"['arrived', 'cairo', 'attend', 'tomorrow', 'behalf', 'european', 'union', 'emergency', 'summit', 'league', 'arab', 'states', 'gaza', 'ramadan', 'kareem', 'holy', 'month', 'ramadan']",arrived cairo attend tomorrow behalf european union emergency summit league arab states gaza ramadan kareem holy month ramadan,negative,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3818}",0.133,0.867,0.0,-0.3818
"['asalamualaikum', 'th', 'sehri', 'mubarak', 'may', 'blessed', 'month', 'bring', 'peace', 'health', 'endless', 'blessings', 'ramadan']",asalamualaikum th sehri mubarak may blessed month bring peace health endless blessings ramadan,positive,"{'neg': 0.0, 'neu': 0.478, 'pos': 0.522, 'compound': 0.8979}",0.0,0.478,0.522,0.8979
"['asking', 'water', 'drinks', 'someone', 'said', 'ramadan']",asking water drinks someone said ramadan,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['assalam', 'walikam', 'good', 'morning', 'everybody', 'beautiful', 'morning', 'wishing', 'happy', 'day', 'ramadan', 'mubarak', '']",assalam walikam good morning everybody beautiful morning wishing happy day ramadan mubarak,positive,"{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.9081}",0.0,0.392,0.608,0.9081
"['assalamualaikum', 'meal', 'fajr', 'ramadan', 'called']",assalamualaikum meal fajr ramadan called,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['assalamualaykum', 'question', 'surah', 'first', 'revealed', 'ramadan']",assalamualaykum question surah first revealed ramadan,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['astronomer', 'visionary', 'expert', 'abdullah', 'al-khudairi', 'states', 'astronomically', 'first', 'day', 'blessed', 'month', 'ramadan', 'saturday', 'march', 'st']",astronomer visionary expert abdullah al-khudairi states astronomically first day blessed month ramadan saturday march st,positive,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.8074}",0.0,0.64,0.36,0.8074
"['ate', 'lunch', 'today', 'thank', 'farmer', 'eat', 'lunch', 'today', 'thank', 'aurangzeb', 'ramadan']",ate lunch today thank farmer eat lunch today thank aurangzeb ramadan,positive,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.6124}",0.0,0.643,0.357,0.6124
"['atheist', 'pm', 'keir', 'starmer', 'globalist', 'king', 'charles', 'made', 'big', 'deal', 'ramadan', 'yesterday', 'said', 'nothing', 'ask', 'wednesday', 'lent', 'today', 'woke', 'enemies', 'western', 'civilisation']",atheist pm keir starmer globalist king charles made big deal ramadan yesterday said nothing ask wednesday lent today woke enemies western civilisation,negative,"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.4939}",0.132,0.868,0.0,-0.4939
"['attacks', 'muslims', 'continue', 'ramadan', 'india']",attacks muslims continue ramadan india,negative,"{'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}",0.42,0.58,0.0,-0.4404
"['avoid', 'common', 'mistake', 'maghrib', 'salah', 'ramadan']",avoid common mistake maghrib salah ramadan,negative,"{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.5574}",0.535,0.465,0.0,-0.5574
"['back', 'dreamies', 'content', 'ramadan', 'month']",back dreamies content ramadan month,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['bangladesh', 'hindu', 'women', 'abducted', 'r', 'murdered', 'khulna', 'district', 'terrorists', 'jamat-e-islami', 'dozen', 'types', 'incidents', 'happened', 'within', 'week', 'victims', 'hindu', 'christian', 'buddhists', 'ramadan', 'become', 'scary', 'non', 'muslims', 'bangladesh']",bangladesh hindu women abducted r murdered khulna district terrorists jamat-e-islami dozen types incidents happened within week victims hindu christian buddhists ramadan become scary non muslims bangladesh,negative,"{'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.9538}",0.452,0.548,0.0,-0.9538
"['barcelona', 'prepared', 'special', 'diet', 'plan', 'take', 'care', 'lamine', 'ansu', 'ramadan', 'fcblive']",barcelona prepared special diet plan take care lamine ansu ramadan fcblive,positive,"{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.7783}",0.0,0.506,0.494,0.7783
"['bauchi', 'state', 'orders', 'five-week', 'school', 'closure', 'ramadan', 'bauchi', 'state', 'government', 'mandated', 'five-week', 'school', 'closure', 'feb', 'april', 'ramadan', 'affecting', 'public', 'private', 'schools']",bauchi state orders five-week school closure ramadan bauchi state government mandated five-week school closure feb april ramadan affecting public private schools,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['beautiful', 'time', 'year', 'may', 'allah', 'accept', 'good', 'deeds', 'answer', 'prayers', 'ramadan', 'mubarak']",beautiful time year may allah accept good deeds answer prayers ramadan mubarak,positive,"{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.8555}",0.0,0.489,0.511,0.8555
"['beginning', 'holy', 'season', 'lent', 'good', 'company', 'islamic', 'neighbors', 'celebrating', 'ramadan', 'jewish', 'neighbors', 'getting', 'ready', 'passover']",beginning holy season lent good company islamic neighbors celebrating ramadan jewish neighbors getting ready passover,positive,"{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.8442}",0.0,0.569,0.431,0.8442
"['belgian', 'football', 'league', 'implemented', 'special', 'ramadan', 'breaks', 'matches', 'players', 'fasting', 'day', 'get', 'food', 'water', 'fast', 'breaks', '']",belgian football league implemented special ramadan breaks matches players fasting day get food water fast breaks,positive,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}",0.0,0.847,0.153,0.4019
"['believe', 'football', 'match', 'stopped', 'player', 'taking', 'fluids', 'ramadan', '', 'mnuful']",believe football match stopped player taking fluids ramadan mnuful,negative,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}",0.192,0.808,0.0,-0.2263
"['best', 'adhkar', 'quran', 'finish', 'ramadan']",best adhkar quran finish ramadan,positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.0,0.488,0.512,0.6369
"['best', 'deed', 'ramadan']",best deed ramadan,positive,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.0,0.323,0.677,0.6369
"['best', 'times', 'make', 'du a', 'ramadan', '']",best times make du a ramadan,positive,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.0,0.543,0.457,0.6369
"['best', 'video', 'watched', 'internet', 'ramadan', 'subhanallah', 'said', 'spent', 'entire', 'life', 'helping', 'others', 'first', 'time', 'received', 'help']",best video watched internet ramadan subhanallah said spent entire life helping others first time received help,positive,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.8442}",0.0,0.588,0.412,0.8442
"['best', 'way', 'enter', 'month', 'ramadan', '']",best way enter month ramadan,positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.0,0.488,0.512,0.6369
"['bishops', 'bergoglian', 'church', 'give', 'good', 'wishes', 'beginning', 'ramadan', 'president', 'trump', 'first', 'lady', 'give', 'lenten', 'wishes', 'catholics', 'abandoned', 'pastors']",bishops bergoglian church give good wishes beginning ramadan president trump first lady give lenten wishes catholics abandoned pastors,positive,"{'neg': 0.13, 'neu': 0.606, 'pos': 0.264, 'compound': 0.2732}",0.13,0.606,0.264,0.2732
"['bishops', 'cared', 'catholic', 'teaching', 'tradition', 'much', 'religions', '']",bishops cared catholic teaching tradition much religions,positive,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",0.0,0.682,0.318,0.4215
"['blessed', 'generous', 'ramadan']",blessed generous ramadan,positive,"{'neg': 0.0, 'neu': 0.122, 'pos': 0.878, 'compound': 0.802}",0.0,0.122,0.878,0.802
"['blessed', 'ramadan', 'around', 'world']",blessed ramadan around world,positive,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.5994}",0.0,0.435,0.565,0.5994
"['blessings', 'leave', 'speechless', 'standing', 'kaaba', 'ramadan', 'one', 'alhamdulillah', 'papa', 'may', 'always', 'every', 'prayer', 'every', 'moment', '', 'makkah', 'ramadan', 'umrah']",blessings leave speechless standing kaaba ramadan one alhamdulillah papa may always every prayer every moment makkah ramadan umrah,positive,"{'neg': 0.058, 'neu': 0.773, 'pos': 0.169, 'compound': 0.5106}",0.058,0.773,0.169,0.5106
"['blt', 'activists', 'harassing', 'abusing', 'stalking', 'hijab', 'holy', 'month', 'ramadan', 'saying', 'good', 'muslim', 'men', 'islamic']",blt activists harassing abusing stalking hijab holy month ramadan saying good muslim men islamic,negative,"{'neg': 0.319, 'neu': 0.539, 'pos': 0.142, 'compound': -0.5574}",0.319,0.539,0.142,-0.5574
"['br', 'muneeb', 'watching', 'framadan', 'resolutions', 'providence', 'st', 'vincent s', 'hospital', 'inspiring', 'ramres']",br muneeb watching framadan resolutions providence st vincent s hospital inspiring ramres,positive,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.0,0.797,0.203,0.4215
"['breaking', 'al-qassam', 'brigades', 'spokesman', 'abu', 'obaida', 'congratulate', 'muslims', 'arrival', 'blessed', 'month', 'ramadan', 'month', 'victories', 'especially', 'people', 'palestine', 'gaza', 'tell', 'two', 'billion', 'muslim', 'brothers', 'sisters', 'brothers', 'faith']",breaking al-qassam brigades spokesman abu obaida congratulate muslims arrival blessed month ramadan month victories especially people palestine gaza tell two billion muslim brothers sisters brothers faith,positive,"{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.872}",0.0,0.699,0.301,0.872
"['breaking', 'arabs', 'east', 'jerusalem', 'fighting', 'celebrate', 'third', 'night', 'ramadan', 'long', 'people', 'start', 'blaming', 'israel']",breaking arabs east jerusalem fighting celebrate third night ramadan long people start blaming israel,negative,"{'neg': 0.279, 'neu': 0.539, 'pos': 0.181, 'compound': -0.25}",0.279,0.539,0.181,-0.25
"['breaking', 'designers', 'shivan', 'bhatiya', 'narresh', 'kukreja', 'apologise', 'organising', 'fashion', 'show', 'gulmarg', 'ramadan', 'sole', 'intention', 'celebrate', 'creativity', 'ski', 'apres-ski', 'lifestyle', 'without', 'desire', 'offend', 'anyone', 'religious', 'sentiments', 'show']",breaking designers shivan bhatiya narresh kukreja apologise organising fashion show gulmarg ramadan sole intention celebrate creativity ski apres-ski lifestyle without desire offend anyone religious sentiments show,positive,"{'neg': 0.066, 'neu': 0.617, 'pos': 0.317, 'compound': 0.8191}",0.066,0.617,0.317,0.8191
"['breaking', 'famine-like', 'conditions', 'emerging', 'gaza', 'israel', 'blocks', 'food', 'supplies', 'desperate', 'civilians', 'rushed', 'flour', 'truck', 'gaza', 'city', 'ramadan', 'access', 'food', 'become', 'dramatically', 'difficult', 'compared', 'weeks', 'even', 'days', 'ago']",breaking famine-like conditions emerging gaza israel blocks food supplies desperate civilians rushed flour truck gaza city ramadan access food become dramatically difficult compared weeks even days ago,negative,"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.6908}",0.218,0.782,0.0,-0.6908
"['breaking', 'news', 'black', 'suv', 'driven', 'crowd', 'mannheim', 'least', 'one', 'dead', 'many', 'receiving', 'emergency', 'treatment', 'town', 'holding', 'festival', 'pointed', 'ramadan', 'increased', 'isis', 'activity']",breaking news black suv driven crowd mannheim least one dead many receiving emergency treatment town holding festival pointed ramadan increased isis activity,negative,"{'neg': 0.228, 'neu': 0.596, 'pos': 0.175, 'compound': -0.3818}",0.228,0.596,0.175,-0.3818
"['breaking', 'news', 'catholic', 'bishops', 'conference', 'nigeria', 'criticized', 'decision', 'northern', 'state', 'governors', 'close', 'schools', 'five', 'weeks', 'ramadan', 'describing', 'violation', 'country', 'secular', 'principles', 'threat', 'education']",breaking news catholic bishops conference nigeria criticized decision northern state governors close schools five weeks ramadan describing violation country secular principles threat education,negative,"{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.8442}",0.313,0.687,0.0,-0.8442
"['breaking', 'news', 'christian', 'association', 'nigeria', 'threatens', 'legal', 'action', 'ramadan', 'school', 'closures', 'northern', 'states', 'demands', 'reversal', 'directives']",breaking news christian association nigeria threatens legal action ramadan school closures northern states demands reversal directives,negative,"{'neg': 0.144, 'neu': 0.773, 'pos': 0.083, 'compound': -0.2732}",0.144,0.773,0.083,-0.2732
"['breaking', 'news', 'national', 'association', 'nigerian', 'students', 'threatened', 'embark', 'nationwide', 'protests', 'governors', 'bauchi', 'katsina', 'kano', 'kebbi', 'states', 'reverse', 'decision', 'close', 'schools', 'five', 'weeks', 'ramadan', 'fast', 'within', 'hours']",breaking news national association nigerian students threatened embark nationwide protests governors bauchi katsina kano kebbi states reverse decision close schools five weeks ramadan fast within hours,negative,"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.5994}",0.17,0.83,0.0,-0.5994
"['breaking', '', 'president', 'tinubu', 'son', 'seyi', 'tinubu', 'visits', 'emir', 'zazzau', 'shares', 'ramadan', 'packages', 'seyi', 'tinubu', 'son', 'president', 'bola', 'ahmed', 'tinubu', 'paid', 'visit', 'emir', 'zazzau', 'zaria', 'distributed', 'ramadan', 'packages', 'community', 'delivered', 'heartfelt', 'speech']",breaking president tinubu son seyi tinubu visits emir zazzau shares ramadan packages seyi tinubu son president bola ahmed tinubu paid visit emir zazzau zaria distributed ramadan packages community delivered heartfelt speech,positive,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.6908}",0.0,0.836,0.164,0.6908
"['', 'breaking', 'russian', 'chechen', 'flag', 'raised', 'liberated', 'martyanovka', 'kursk', 'region', 'work', 'brothers', 'lets', 'fucking', 'go', 'russian', 'muslims', 'celebrate', 'ramadan', 'ramadan', 'mubarak', 'everyone', 'especially', 'ukrainians', 'kursk']",breaking russian chechen flag raised liberated martyanovka kursk region work brothers lets fucking go russian muslims celebrate ramadan ramadan mubarak everyone especially ukrainians kursk,positive,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.5719}",0.0,0.861,0.139,0.5719
"['breaking', 'seyi', 'tinubu', 'clears', 'medical', 'bills', 'ailing', 'women', 'sokoto', 'hospital', 'ramadan', 'spirit', 'spirit', 'ramadan', 'seyi', 'tinubu', 'son', 'president', 'bola', 'ahmed', 'tinubu', 'demonstrated', 'act', 'generosity', 'settling', 'medical', 'bills', 'several', 'women', 'receiving', 'treatment']",breaking seyi tinubu clears medical bills ailing women sokoto hospital ramadan spirit spirit ramadan seyi tinubu son president bola ahmed tinubu demonstrated act generosity settling medical bills several women receiving treatment,positive,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.7184}",0.0,0.771,0.229,0.7184
"['british', 'parliament', 'hosts', 'first', 'ever', 'iftar', 'ceremony', 'ramadan', 'iman', 'addressing', 'crowd', 'arabic', 'english']",british parliament hosts first ever iftar ceremony ramadan iman addressing crowd arabic english,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['british', 'ruled', 'world', 'conquered', 'world', 'today', 'london', 'fallen', 'ruled', 'radical', 'pakistanis', 'mayor', 'london', 'sadiq', 'khan', 'al', 'salam', 'alaikum', 'ramadan']",british ruled world conquered world today london fallen ruled radical pakistanis mayor london sadiq khan al salam alaikum ramadan,negative,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.3612}",0.122,0.878,0.0,-0.3612
"['broken', 'inside', 'different', 'ways', 'may', 'ramadan', 'healing', 'month', 'us']",broken inside different ways may ramadan healing month us,negative,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}",0.279,0.721,0.0,-0.4767
"['cal s', 'mady', 'sissoko', 'fasting', 'ramadan', 'able', 'break', 'fast', 'double', 'ot', 'finished', 'pts', 'rebs', 'win', 'virginia', 'tech']",cal s mady sissoko fasting ramadan able break fast double ot finished pts rebs win virginia tech,positive,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.5859}",0.0,0.808,0.192,0.5859
"['call', 'fasting', 'ramadan', 'fasting', 'fastest', 'way', 'get', 'fat']",call fasting ramadan fasting fastest way get fat,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['can t', 'even', 'mention', 'christmas', 'london', 'christmas', 'market', 'celebrate', 'ramadan', 'loud', 'proud', 'can t', 'even', 'make', 'sense', 'anymore']",can t even mention christmas london christmas market celebrate ramadan loud proud can t even make sense anymore,positive,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.7783}",0.0,0.702,0.298,0.7783
"['can t', 'wait', '', 'ramadan', 'allahummaballighnaramadhan', 'ramadan', 'ramadan', '']",can t wait ramadan allahummaballighnaramadhan ramadan ramadan,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
